Capital Gains / Losses - 2024
date,ticker,shares_sold,price_usd,proceeds_usd,exchange_rate_usd_cad,proceeds_cad,acb_used_cad,capital_gain_cad,taxable_gain_cad
2024-02-06,GOOG,476.963,145.6299964567482173669655718,69460.12,1.3506,93812.84,88836.73,4976.11,2488.06
2024-04-01,GOOG,120.802,155.5499908941904935348752504,18790.75,1.3574,25506.56,24392.14,1114.42,557.21
2024-06-11,GOOG,132.446,177.7599927517629826495326397,23543.60,1.3767,32412.47,30479.45,1933.02,966.51
2024-09-03,GOOG,203.311,160.7000113127179542671080266,32672.08,1.3548,44264.13,48391.46,-4127.33,-2063.67
2024-12-09,GOOG,194.717,175.8400139689908944776265041,34239.04,1.4130,48379.76,44279.17,4100.59,2050.30
,,,,,,,,Total Taxable (CAD),3998.41

Year End Holdings & Cost Basis (2024)
ticker,shares,total_acb_cad,acb_per_share_cad
GOOG,70.877,20144.96,284.22417406
